Team A0 1,Team B0 7
Team A5226 7,Team B5226 4
Team A5227 6,Team B5227 0
Team A5228 1,Team B5228 1
Team A5229 9,Team B5229 8
Team A5230 3,Team B5230 4
Team A5231 2,Team B5231 7
Team A5232 3,Team B5232 6
Team A5233 7,Team B5233 9
Team A5234 1,Team B5234 9
Team A5235 0,Team B5235 3
Team A5236 7,Team B5236 3
Team A5237 4,Team B5237 6
Team A5238 3,Team B5238 0
Team A5239 4,Team B5239 7
Team A5240 1,Team B5240 5
Team A5241 2,Team B5241 6
Team A5242 1,Team B5242 9
Team A5243 3,Team B5243 1
Team A5244 2,Team B5244 5
Team A5245 7,Team B5245 1
Team A5246 3,Team B5246 2
Team A5247 7,Team B5247 7
Team A5248 9,Team B5248 5
Team A5249 6,Team B5249 8
Team A5250 0,Team B5250 4
Team A5251 4,Team B5251 8
Team A5252 1,Team B5252 6
Team A5253 1,Team B5253 5
Team A5254 4,Team B5254 8
Team A5255 8,Team B5255 5
Team A5256 4,Team B5256 5
Team A5257 9,Team B5257 7
Team A5258 5,Team B5258 7
Team A5259 5,Team B5259 8
Team A5260 8,Team B5260 2
Team A5261 2,Team B5261 3
Team A5262 5,Team B5262 7
Team A5263 8,Team B5263 1
Team A5264 3,Team B5264 8
Team A5265 5,Team B5265 4
Team A5266 1,Team B5266 6
Team A5267 7,Team B5267 0
Team A5268 6,Team B5268 0
Team A5269 6,Team B5269 7
Team A5270 8,Team B5270 6
Team A5271 9,Team B5271 9
Team A5272 6,Team B5272 4
Team A5273 3,Team B5273 1
Team A5274 1,Team B5274 6
Team A5275 8,Team B5275 6
Team A5276 8,Team B5276 5
Team A5277 9,Team B5277 3
Team A5278 2,Team B5278 5
Team A5279 0,Team B5279 9
Team A5280 3,Team B5280 4
Team A5281 9,Team B5281 6
Team A5282 8,Team B5282 9
Team A5283 1,Team B5283 0
Team A5284 6,Team B5284 8
Team A5285 5,Team B5285 0
Team A5286 1,Team B5286 1
Team A5287 5,Team B5287 0
Team A5288 7,Team B5288 4
Team A5289 7,Team B5289 1
Team A5290 9,Team B5290 5
Team A5291 5,Team B5291 3
Team A5292 8,Team B5292 2
Team A5293 7,Team B5293 4
Team A5294 8,Team B5294 5
Team A5295 6,Team B5295 8
Team A5296 8,Team B5296 0
Team A5297 7,Team B5297 9
Team A5298 9,Team B5298 4
Team A5299 5,Team B5299 2
Team A5300 6,Team B5300 6
Team A5301 1,Team B5301 8
Team A5302 9,Team B5302 8
Team A5303 6,Team B5303 9
Team A5304 6,Team B5304 5
Team A5305 6,Team B5305 3
Team A5306 2,Team B5306 9
Team A5307 2,Team B5307 1
Team A5308 6,Team B5308 8
Team A5309 0,Team B5309 7
Team A5310 0,Team B5310 7
Team A5311 0,Team B5311 4
Team A5312 3,Team B5312 9
Team A5313 6,Team B5313 9
Team A5314 4,Team B5314 9
Team A5315 6,Team B5315 9
Team A5316 3,Team B5316 5
Team A5317 6,Team B5317 6
Team A5318 9,Team B5318 7
Team A5319 5,Team B5319 6
Team A5320 8,Team B5320 3
Team A5321 1,Team B5321 6
Team A5322 3,Team B5322 8
Team A5323 1,Team B5323 4
Team A5324 4,Team B5324 2
Team A5325 7,Team B5325 5
Team A5326 1,Team B5326 6
Team A5327 4,Team B5327 2
Team A5328 2,Team B5328 0
Team A5329 7,Team B5329 1
Team A5330 1,Team B5330 9
Team A5331 1,Team B5331 4
Team A5332 8,Team B5332 3
Team A5333 9,Team B5333 3
Team A5334 0,Team B5334 4
Team A5335 0,Team B5335 9
Team A5336 1,Team B5336 0
Team A5337 2,Team B5337 0
Team A5338 4,Team B5338 6
Team A5339 0,Team B5339 2
Team A5340 6,Team B5340 1
Team A5341 6,Team B5341 1
Team A5342 0,Team B5342 8
Team A5343 0,Team B5343 5
Team A5344 5,Team B5344 5
Team A5345 4,Team B5345 1
Team A5346 6,Team B5346 2
Team A5347 8,Team B5347 8
Team A5348 2,Team B5348 0
Team A5349 6,Team B5349 5
Team A5350 4,Team B5350 4
Team A5351 1,Team B5351 0
Team A5352 0,Team B5352 4
Team A5353 5,Team B5353 3
Team A5354 4,Team B5354 5
Team A5355 4,Team B5355 2
Team A5356 1,Team B5356 1
Team A5357 1,Team B5357 3
Team A5358 8,Team B5358 1
Team A5359 7,Team B5359 6
Team A5360 9,Team B5360 3
Team A5361 2,Team B5361 4
Team A5362 0,Team B5362 3
Team A5363 4,Team B5363 6
Team A5364 1,Team B5364 6
Team A5365 6,Team B5365 9
Team A5366 4,Team B5366 3
Team A5367 5,Team B5367 3
Team A5368 6,Team B5368 5
Team A5369 1,Team B5369 3
Team A5370 2,Team B5370 7
Team A5371 9,Team B5371 1
Team A5372 5,Team B5372 6
Team A5373 9,Team B5373 9
Team A5374 2,Team B5374 5
Team A5375 7,Team B5375 9
Team A5376 0,Team B5376 3
Team A5377 8,Team B5377 5
Team A5378 6,Team B5378 7
Team A5379 4,Team B5379 4
Team A5380 2,Team B5380 3
Team A5381 3,Team B5381 5
Team A5382 4,Team B5382 4
Team A5383 4,Team B5383 2
Team A5384 0,Team B5384 6
Team A5385 3,Team B5385 8
Team A5386 2,Team B5386 3
Team A5387 2,Team B5387 6
Team A5388 4,Team B5388 4
Team A5389 2,Team B5389 9
Team A5390 0,Team B5390 1
Team A5391 7,Team B5391 4
Team A5392 8,Team B5392 1
Team A5393 3,Team B5393 1
Team A5394 2,Team B5394 3
Team A5395 1,Team B5395 2
Team A5396 2,Team B5396 9
Team A5397 8,Team B5397 5
Team A5398 9,Team B5398 6
Team A5399 9,Team B5399 4
Team A5400 6,Team B5400 3
Team A5401 2,Team B5401 0
Team A5402 5,Team B5402 2
Team A5403 9,Team B5403 4
Team A5404 3,Team B5404 4
Team A5405 6,Team B5405 0
Team A5406 7,Team B5406 8
Team A5407 8,Team B5407 9
Team A5408 7,Team B5408 7
Team A5409 7,Team B5409 1
Team A5410 3,Team B5410 8
Team A5411 4,Team B5411 7
Team A5412 8,Team B5412 1
Team A5413 5,Team B5413 5
Team A5414 9,Team B5414 8
Team A5415 5,Team B5415 5
Team A5416 3,Team B5416 7
Team A5417 9,Team B5417 9
Team A5418 3,Team B5418 1
Team A5419 3,Team B5419 6
Team A5420 3,Team B5420 5
Team A5421 7,Team B5421 7
Team A5422 4,Team B5422 8
Team A5423 2,Team B5423 7
Team A5424 5,Team B5424 1
Team A5425 1,Team B5425 0
Team A5426 1,Team B5426 5
Team A5427 2,Team B5427 5
Team A5428 8,Team B5428 3
Team A5429 5,Team B5429 6
Team A5430 0,Team B5430 3
Team A5431 8,Team B5431 1
Team A5432 3,Team B5432 1
Team A5433 9,Team B5433 3
Team A5434 1,Team B5434 7
Team A5435 9,Team B5435 7
Team A5436 1,Team B5436 3
Team A5437 1,Team B5437 1
Team A5438 6,Team B5438 4
Team A5439 1,Team B5439 9
Team A5440 0,Team B5440 3
Team A5441 7,Team B5441 3
Team A5442 9,Team B5442 3
Team A5443 4,Team B5443 3
Team A5444 7,Team B5444 9
Team A5445 5,Team B5445 3
Team A5446 1,Team B5446 5
Team A5447 2,Team B5447 1
Team A5448 8,Team B5448 1
Team A5449 2,Team B5449 4
Team A5450 5,Team B5450 7
Team A5451 4,Team B5451 7
Team A5452 6,Team B5452 0
Team A5453 7,Team B5453 4
Team A5454 1,Team B5454 3
Team A5455 2,Team B5455 0
Team A5456 2,Team B5456 3
Team A5457 8,Team B5457 0
Team A5458 3,Team B5458 4
Team A5459 6,Team B5459 0
Team A5460 7,Team B5460 3
Team A5461 7,Team B5461 6
Team A5462 6,Team B5462 1
Team A5463 7,Team B5463 5
Team A5464 7,Team B5464 0
Team A5465 1,Team B5465 5
Team A5466 9,Team B5466 0
Team A5467 7,Team B5467 5
Team A5468 3,Team B5468 0
Team A5469 5,Team B5469 5
Team A5470 2,Team B5470 9
Team A5471 9,Team B5471 0
Team A5472 7,Team B5472 8
Team A5473 2,Team B5473 1
Team A5474 1,Team B5474 8
Team A5475 1,Team B5475 0
Team A5476 6,Team B5476 8
Team A5477 2,Team B5477 5
Team A5478 4,Team B5478 9
Team A5479 9,Team B5479 9
Team A5480 4,Team B5480 5
Team A5481 3,Team B5481 5
Team A5482 1,Team B5482 7
Team A5483 6,Team B5483 5
Team A5484 2,Team B5484 9
Team A5485 4,Team B5485 5
Team A5486 2,Team B5486 8
Team A5487 4,Team B5487 2
Team A5488 5,Team B5488 1
Team A5489 2,Team B5489 1
Team A5490 3,Team B5490 9
Team A5491 6,Team B5491 1
Team A5492 0,Team B5492 2
Team A5493 6,Team B5493 6
Team A5494 9,Team B5494 6
Team A5495 1,Team B5495 6
Team A5496 3,Team B5496 1
Team A5497 1,Team B5497 3
Team A5498 6,Team B5498 9
Team A5499 2,Team B5499 8
Team A5500 4,Team B5500 8
Team A5501 7,Team B5501 1
Team A5502 4,Team B5502 3
Team A5503 1,Team B5503 5
Team A5504 7,Team B5504 5
Team A5505 9,Team B5505 6
Team A5506 3,Team B5506 7
Team A5507 2,Team B5507 4
Team A5508 5,Team B5508 4
Team A5509 1,Team B5509 3
Team A5510 1,Team B5510 3
Team A5511 5,Team B5511 3
Team A5512 2,Team B5512 7
Team A5513 2,Team B5513 8
Team A5514 5,Team B5514 7
Team A5515 8,Team B5515 8
Team A5516 9,Team B5516 9
Team A5517 8,Team B5517 7
Team A5518 4,Team B5518 3
Team A5519 0,Team B5519 1
Team A5520 4,Team B5520 1
Team A5521 4,Team B5521 9
Team A5522 2,Team B5522 4
Team A5523 3,Team B5523 5
Team A5524 5,Team B5524 3
Team A5525 3,Team B5525 3
Team A5526 6,Team B5526 8
Team A5527 1,Team B5527 0
Team A5528 2,Team B5528 0
Team A5529 2,Team B5529 1
Team A5530 8,Team B5530 0
Team A5531 6,Team B5531 3
Team A5532 6,Team B5532 4
Team A5533 9,Team B5533 2
Team A5534 1,Team B5534 1
Team A5535 3,Team B5535 3
Team A5536 0,Team B5536 3
Team A5537 2,Team B5537 3
Team A5538 1,Team B5538 7
Team A5539 8,Team B5539 9
Team A5540 8,Team B5540 0
Team A5541 1,Team B5541 9
Team A5542 0,Team B5542 2
Team A5543 8,Team B5543 0
Team A5544 4,Team B5544 2
Team A5545 4,Team B5545 8
Team A5546 2,Team B5546 7
Team A5547 9,Team B5547 9
Team A5548 5,Team B5548 6
Team A5549 2,Team B5549 0
Team A5550 8,Team B5550 8
Team A5551 7,Team B5551 6
Team A5552 2,Team B5552 1
Team A5553 5,Team B5553 1
Team A5554 4,Team B5554 8
Team A5555 0,Team B5555 4
Team A5556 3,Team B5556 5
Team A5557 1,Team B5557 2
Team A5558 6,Team B5558 4
Team A5559 4,Team B5559 9
Team A5560 4,Team B5560 5
Team A5561 9,Team B5561 9
Team A5562 0,Team B5562 8
Team A5563 4,Team B5563 0
Team A5564 0,Team B5564 2
Team A5565 6,Team B5565 3
Team A5566 5,Team B5566 1
Team A5567 4,Team B5567 3
Team A5568 9,Team B5568 9
Team A5569 5,Team B5569 2
Team A5570 1,Team B5570 8
Team A5571 0,Team B5571 8
Team A5572 0,Team B5572 7
Team A5573 3,Team B5573 1
Team A5574 8,Team B5574 8
Team A5575 6,Team B5575 8
Team A5576 5,Team B5576 4
Team A5577 6,Team B5577 0
Team A5578 2,Team B5578 7
Team A5579 9,Team B5579 5
Team A5580 9,Team B5580 9
Team A5581 2,Team B5581 7
Team A5582 1,Team B5582 4
Team A5583 7,Team B5583 6
Team A5584 8,Team B5584 0
Team A5585 0,Team B5585 2
Team A5586 6,Team B5586 7
Team A5587 7,Team B5587 1
Team A5588 8,Team B5588 4
Team A5589 2,Team B5589 9
Team A5590 8,Team B5590 6
Team A5591 6,Team B5591 1
Team A5592 7,Team B5592 0
Team A5593 4,Team B5593 9
Team A5594 8,Team B5594 1
Team A5595 0,Team B5595 4
Team A5596 4,Team B5596 4
Team A5597 0,Team B5597 7
Team A5598 3,Team B5598 3
Team A5599 0,Team B5599 7
Team A5600 7,Team B5600 4
Team A5601 2,Team B5601 1
Team A5602 0,Team B5602 4
Team A5603 3,Team B5603 3
Team A5604 1,Team B5604 5
Team A5605 1,Team B5605 6
Team A5606 3,Team B5606 1
Team A5607 9,Team B5607 7
Team A5608 8,Team B5608 3
Team A5609 4,Team B5609 5
Team A5610 3,Team B5610 5
Team A5611 0,Team B5611 9
Team A5612 8,Team B5612 6
Team A5613 8,Team B5613 5
Team A5614 2,Team B5614 6
Team A5615 5,Team B5615 5
Team A5616 1,Team B5616 3
Team A5617 7,Team B5617 0
Team A5618 7,Team B5618 7
Team A5619 9,Team B5619 0
Team A5620 3,Team B5620 1
Team A5621 6,Team B5621 6
Team A5622 3,Team B5622 9
Team A5623 7,Team B5623 4
Team A5624 5,Team B5624 7
Team A5625 7,Team B5625 6
Team A5626 9,Team B5626 4
Team A5627 6,Team B5627 2
Team A5628 5,Team B5628 9
Team A5629 7,Team B5629 9
Team A5630 3,Team B5630 3
Team A5631 0,Team B5631 4
Team A5632 9,Team B5632 1
Team A5633 4,Team B5633 3
Team A5634 4,Team B5634 9
Team A5635 4,Team B5635 1
Team A5636 1,Team B5636 3
Team A5637 2,Team B5637 8
Team A5638 6,Team B5638 6
Team A5639 3,Team B5639 5
Team A5640 8,Team B5640 1
Team A5641 7,Team B5641 3
Team A5642 4,Team B5642 5
Team A5643 9,Team B5643 8
Team A5644 7,Team B5644 2
Team A5645 7,Team B5645 4
Team A5646 1,Team B5646 2
Team A5647 9,Team B5647 0
Team A5648 1,Team B5648 9
Team A5649 9,Team B5649 9
Team A5650 3,Team B5650 5
Team A5651 7,Team B5651 3
Team A5652 1,Team B5652 5
Team A5653 5,Team B5653 4
Team A5654 4,Team B5654 6
Team A5655 5,Team B5655 0
Team A5656 6,Team B5656 2
Team A5657 7,Team B5657 9
Team A5658 7,Team B5658 7
Team A5659 6,Team B5659 5
Team A5660 6,Team B5660 9
Team A5661 9,Team B5661 2
Team A5662 4,Team B5662 4
Team A5663 6,Team B5663 0
Team A5664 5,Team B5664 4
Team A5665 4,Team B5665 3
Team A5666 5,Team B5666 2
Team A5667 6,Team B5667 8
Team A5668 2,Team B5668 4
Team A5669 3,Team B5669 4
Team A5670 6,Team B5670 7
Team A5671 7,Team B5671 2
Team A5672 0,Team B5672 3
Team A5673 7,Team B5673 7
Team A5674 2,Team B5674 3
Team A5675 8,Team B5675 4
Team A5676 5,Team B5676 0
Team A5677 0,Team B5677 5
Team A5678 7,Team B5678 0
Team A5679 4,Team B5679 0
Team A5680 5,Team B5680 2
Team A5681 9,Team B5681 2
Team A5682 6,Team B5682 6
Team A5683 3,Team B5683 3
Team A5684 2,Team B5684 8
Team A5685 3,Team B5685 9
Team A5686 4,Team B5686 4
Team A5687 0,Team B5687 8
Team A5688 2,Team B5688 6
Team A5689 9,Team B5689 0
Team A5690 5,Team B5690 9
Team A5691 7,Team B5691 6
Team A5692 9,Team B5692 6
Team A5693 6,Team B5693 1
Team A5694 6,Team B5694 3
Team A5695 9,Team B5695 3
Team A5696 0,Team B5696 8
Team A5697 8,Team B5697 3
Team A5698 4,Team B5698 2
Team A5699 2,Team B5699 6
Team A5700 2,Team B5700 9
Team A5701 9,Team B5701 7
Team A5702 9,Team B5702 5
Team A5703 5,Team B5703 2
Team A5704 7,Team B5704 4
Team A5705 1,Team B5705 2
Team A5706 5,Team B5706 1
Team A5707 3,Team B5707 5
Team A5708 2,Team B5708 8
Team A5709 8,Team B5709 0
Team A5710 0,Team B5710 9
Team A5711 7,Team B5711 4
Team A5712 5,Team B5712 3
Team A5713 8,Team B5713 0
Team A5714 8,Team B5714 6
Team A5715 7,Team B5715 0
Team A5716 8,Team B5716 5
Team A5717 4,Team B5717 3
Team A5718 7,Team B5718 6
Team A5719 0,Team B5719 2
Team A5720 3,Team B5720 7
Team A5721 9,Team B5721 4
Team A5722 4,Team B5722 0
Team A5723 5,Team B5723 3
Team A5724 9,Team B5724 6
Team A5725 1,Team B5725 6
Team A5726 0,Team B5726 3
Team A5727 6,Team B5727 1
Team A5728 3,Team B5728 8
Team A5729 2,Team B5729 8
Team A5730 5,Team B5730 0
Team A5731 9,Team B5731 0
Team A5732 8,Team B5732 0
Team A5733 3,Team B5733 2
Team A5734 2,Team B5734 2
Team A5735 6,Team B5735 3
Team A5736 8,Team B5736 6
Team A5737 0,Team B5737 3
Team A5738 1,Team B5738 2
Team A5739 4,Team B5739 5
Team A5740 9,Team B5740 5
Team A5741 7,Team B5741 8
Team A5742 1,Team B5742 7
Team A5743 2,Team B5743 0
Team A5744 1,Team B5744 8
Team A5745 9,Team B5745 3
Team A5746 0,Team B5746 7
Team A5747 9,Team B5747 0
Team A5748 8,Team B5748 6
Team A5749 1,Team B5749 0
Team A5750 2,Team B5750 5
Team A5751 0,Team B5751 6
Team A5752 9,Team B5752 3
Team A5753 8,Team B5753 4
Team A5754 8,Team B5754 2
Team A5755 7,Team B5755 7
Team A5756 2,Team B5756 0
Team A5757 6,Team B5757 7
Team A5758 2,Team B5758 7
Team A5759 2,Team B5759 0
Team A5760 7,Team B5760 5
Team A5761 0,Team B5761 3
Team A5762 0,Team B5762 8
Team A5763 4,Team B5763 4
Team A5764 8,Team B5764 4
Team A5765 8,Team B5765 4
Team A5766 2,Team B5766 2
Team A5767 9,Team B5767 0
Team A5768 6,Team B5768 0
Team A5769 9,Team B5769 6
Team A5770 4,Team B5770 2
Team A5771 4,Team B5771 0
Team A5772 3,Team B5772 9
Team A5773 0,Team B5773 7
Team A5774 8,Team B5774 7
Team A5775 9,Team B5775 0
Team A5776 6,Team B5776 0
Team A5777 5,Team B5777 0
Team A5778 2,Team B5778 6
Team A5779 6,Team B5779 5
Team A5780 7,Team B5780 2
Team A5781 9,Team B5781 4
Team A5782 5,Team B5782 3
Team A5783 4,Team B5783 6
Team A5784 8,Team B5784 4
Team A5785 6,Team B5785 0
Team A5786 6,Team B5786 2
Team A5787 1,Team B5787 0
Team A5788 3,Team B5788 8
Team A5789 3,Team B5789 9
Team A5790 3,Team B5790 8
Team A5791 8,Team B5791 1
Team A5792 2,Team B5792 8
Team A5793 4,Team B5793 0
Team A5794 1,Team B5794 5
Team A5795 0,Team B5795 7
Team A5796 7,Team B5796 5
Team A5797 7,Team B5797 8
Team A5798 0,Team B5798 8
Team A5799 2,Team B5799 0
Team A5800 4,Team B5800 7
Team A5801 8,Team B5801 2
Team A5802 5,Team B5802 0
Team A5803 0,Team B5803 3
Team A5804 6,Team B5804 0
Team A5805 6,Team B5805 0
Team A5806 8,Team B5806 0
Team A5807 4,Team B5807 6
Team A5808 9,Team B5808 0
Team A5809 9,Team B5809 3
Team A5810 4,Team B5810 4
Team A5811 7,Team B5811 6
Team A5812 1,Team B5812 9
Team A5813 3,Team B5813 4
Team A5814 9,Team B5814 2
Team A5815 4,Team B5815 8
Team A5816 8,Team B5816 9
Team A5817 3,Team B5817 7
Team A5818 2,Team B5818 7
Team A5819 7,Team B5819 2
Team A5820 3,Team B5820 2
Team A5821 7,Team B5821 8
Team A5822 2,Team B5822 4
Team A5823 6,Team B5823 5
Team A5824 2,Team B5824 9
Team A5825 7,Team B5825 1
Team A5826 4,Team B5826 0
Team A5827 4,Team B5827 5
Team A5828 9,Team B5828 3
Team A5829 1,Team B5829 3
Team A5830 2,Team B5830 7
Team A5831 6,Team B5831 1
Team A5832 6,Team B5832 5
Team A5833 0,Team B5833 6
Team A5834 4,Team B5834 1
Team A5835 7,Team B5835 0
Team A5836 2,Team B5836 2
Team A5837 2,Team B5837 3
Team A5838 1,Team B5838 5
Team A5839 0,Team B5839 8
Team A5840 6,Team B5840 2
Team A5841 7,Team B5841 3
Team A5842 0,Team B5842 4
Team A5843 0,Team B5843 4
Team A5844 5,Team B5844 5
Team A5845 0,Team B5845 1
Team A5846 5,Team B5846 8
Team A5847 1,Team B5847 1
Team A5848 9,Team B5848 1
Team A5849 1,Team B5849 3
Team A5850 0,Team B5850 0
Team A5851 5,Team B5851 2
Team A5852 8,Team B5852 1
Team A5853 7,Team B5853 5
Team A5854 2,Team B5854 6
Team A5855 4,Team B5855 4
Team A5856 3,Team B5856 1
Team A5857 8,Team B5857 5
Team A5858 5,Team B5858 6
Team A5859 5,Team B5859 8
Team A5860 8,Team B5860 2
Team A5861 0,Team B5861 9
Team A5862 3,Team B5862 4
Team A5863 2,Team B5863 1
Team A5864 9,Team B5864 2
Team A5865 9,Team B5865 3
Team A5866 8,Team B5866 1
Team A5867 1,Team B5867 9
Team A5868 2,Team B5868 6
Team A5869 3,Team B5869 8
Team A5870 4,Team B5870 9
Team A5871 8,Team B5871 8
Team A5872 4,Team B5872 6
Team A5873 1,Team B5873 1
Team A5874 2,Team B5874 1
Team A5875 2,Team B5875 6
Team A5876 5,Team B5876 2
Team A5877 6,Team B5877 7
Team A5878 6,Team B5878 8
Team A5879 6,Team B5879 7
Team A5880 7,Team B5880 0
Team A5881 9,Team B5881 1
Team A5882 3,Team B5882 1
Team A5883 4,Team B5883 9
Team A5884 1,Team B5884 2
Team A5885 5,Team B5885 2
Team A5886 7,Team B5886 9
Team A5887 3,Team B5887 8
Team A5888 8,Team B5888 9
Team A5889 6,Team B5889 4
Team A5890 3,Team B5890 6
Team A5891 5,Team B5891 5
Team A5892 4,Team B5892 5
Team A5893 2,Team B5893 4
Team A5894 6,Team B5894 0
Team A5895 9,Team B5895 9
Team A5896 2,Team B5896 2
Team A5897 7,Team B5897 9
Team A5898 5,Team B5898 0
Team A5899 3,Team B5899 9
Team A5900 0,Team B5900 8
Team A5901 4,Team B5901 2
Team A5902 9,Team B5902 3
Team A5903 0,Team B5903 6
Team A5904 7,Team B5904 8
Team A5905 2,Team B5905 9
Team A5906 3,Team B5906 9
Team A5907 8,Team B5907 6
Team A5908 6,Team B5908 7
Team A5909 6,Team B5909 6
Team A5910 8,Team B5910 9
Team A5911 5,Team B5911 9
Team A5912 5,Team B5912 0
Team A5913 7,Team B5913 8
Team A5914 6,Team B5914 5
Team A5915 8,Team B5915 6
Team A5916 3,Team B5916 5
Team A5917 7,Team B5917 2
Team A5918 1,Team B5918 1
Team A5919 0,Team B5919 5
Team A5920 9,Team B5920 7
Team A5921 7,Team B5921 3
Team A5922 0,Team B5922 8
Team A5923 4,Team B5923 4
Team A5924 2,Team B5924 1
Team A5925 4,Team B5925 6
Team A5926 9,Team B5926 2
Team A5927 3,Team B5927 5
Team A5928 1,Team B5928 2
Team A5929 5,Team B5929 6
Team A5930 5,Team B5930 7
Team A5931 8,Team B5931 8
Team A5932 9,Team B5932 5
Team A5933 6,Team B5933 2
Team A5934 4,Team B5934 3
Team A5935 2,Team B5935 1
Team A5936 4,Team B5936 9
Team A5937 0,Team B5937 3
Team A5938 2,Team B5938 2
Team A5939 3,Team B5939 4
Team A5940 8,Team B5940 1
Team A5941 8,Team B5941 2
Team A5942 7,Team B5942 1
Team A5943 6,Team B5943 2
Team A5944 7,Team B5944 9
Team A5945 6,Team B5945 4
Team A5946 8,Team B5946 5
Team A5947 3,Team B5947 6
Team A5948 1,Team B5948 9
Team A5949 3,Team B5949 7
Team A5950 8,Team B5950 1
Team A5951 5,Team B5951 5
Team A5952 8,Team B5952 8
Team A5953 8,Team B5953 8
Team A5954 3,Team B5954 1
Team A5955 0,Team B5955 8
Team A5956 0,Team B5956 0
Team A5957 7,Team B5957 2
Team A5958 6,Team B5958 8
Team A5959 7,Team B5959 3
Team A5960 8,Team B5960 9
Team A5961 0,Team B5961 6
Team A5962 0,Team B5962 1
Team A5963 6,Team B5963 3
Team A5964 6,Team B5964 8
Team A5965 7,Team B5965 8
Team A5966 9,Team B5966 1
Team A5967 0,Team B5967 2
Team A5968 6,Team B5968 3
Team A5969 1,Team B5969 8
Team A5970 9,Team B5970 2
Team A5971 9,Team B5971 1
Team A5972 5,Team B5972 6
Team A5973 6,Team B5973 8
Team A5974 2,Team B5974 0
Team A5975 0,Team B5975 1
Team A5976 3,Team B5976 4
Team A5977 9,Team B5977 0
Team A5978 6,Team B5978 1
Team A5979 8,Team B5979 7
Team A5980 4,Team B5980 7
Team A5981 1,Team B5981 8
Team A5982 1,Team B5982 9
Team A5983 1,Team B5983 6
Team A5984 6,Team B5984 9
Team A5985 5,Team B5985 0
Team A5986 0,Team B5986 4
Team A5987 4,Team B5987 0
Team A5988 3,Team B5988 2
Team A5989 3,Team B5989 2
Team A5990 1,Team B5990 3
Team A5991 6,Team B5991 7
Team A5992 1,Team B5992 4
Team A5993 3,Team B5993 5
Team A5994 4,Team B5994 3
Team A5995 2,Team B5995 6
Team A5996 7,Team B5996 7
Team A5997 4,Team B5997 6
Team A5998 2,Team B5998 2
Team A5999 8,Team B5999 5
Team A6000 0,Team B6000 8
Team A6001 8,Team B6001 4
Team A6002 7,Team B6002 2
Team A6003 0,Team B6003 5
Team A6004 9,Team B6004 4
Team A6005 6,Team B6005 5
Team A6006 6,Team B6006 2
Team A6007 2,Team B6007 6
Team A6008 2,Team B6008 7
Team A6009 1,Team B6009 6
Team A6010 5,Team B6010 6
Team A6011 8,Team B6011 7
Team A6012 5,Team B6012 5
Team A6013 5,Team B6013 9
Team A6014 9,Team B6014 3
Team A6015 4,Team B6015 1
Team A6016 2,Team B6016 7
Team A6017 2,Team B6017 8
Team A6018 0,Team B6018 3
Team A6019 2,Team B6019 3
Team A6020 6,Team B6020 8
Team A6021 6,Team B6021 4
Team A6022 1,Team B6022 7
Team A6023 3,Team B6023 9
Team A6024 8,Team B6024 7
Team A6025 5,Team B6025 2
Team A6026 6,Team B6026 9
Team A6027 9,Team B6027 5
Team A6028 4,Team B6028 7
Team A6029 4,Team B6029 2
Team A6030 7,Team B6030 3
Team A6031 4,Team B6031 3
Team A6032 0,Team B6032 7
Team A6033 2,Team B6033 4
Team A6034 1,Team B6034 6
Team A6035 0,Team B6035 3
Team A6036 1,Team B6036 3
Team A6037 1,Team B6037 7
Team A6038 6,Team B6038 7
Team A6039 8,Team B6039 1
Team A6040 5,Team B6040 7
Team A6041 2,Team B6041 3
Team A6042 3,Team B6042 7
Team A6043 7,Team B6043 9
Team A6044 1,Team B6044 6
Team A6045 5,Team B6045 8
Team A6046 4,Team B6046 0
Team A6047 2,Team B6047 8
Team A6048 8,Team B6048 5
Team A6049 5,Team B6049 8
Team A6050 7,Team B6050 5
Team A6051 5,Team B6051 9
Team A6052 3,Team B6052 5
Team A6053 8,Team B6053 9
Team A6054 9,Team B6054 2
Team A6055 9,Team B6055 9
Team A6056 0,Team B6056 7
Team A6057 2,Team B6057 5
Team A6058 5,Team B6058 7
Team A6059 8,Team B6059 6
Team A6060 5,Team B6060 0
Team A6061 9,Team B6061 8
Team A6062 3,Team B6062 4
Team A6063 4,Team B6063 1
Team A6064 3,Team B6064 3
Team A6065 5,Team B6065 7
Team A6066 4,Team B6066 1
Team A6067 3,Team B6067 7
Team A6068 2,Team B6068 7
Team A6069 1,Team B6069 1
Team A6070 4,Team B6070 5
Team A6071 3,Team B6071 8
Team A6072 2,Team B6072 3
Team A6073 7,Team B6073 6
Team A6074 7,Team B6074 9
Team A6075 3,Team B6075 9
Team A6076 4,Team B6076 9
Team A6077 8,Team B6077 9
Team A6078 2,Team B6078 8
Team A6079 3,Team B6079 2
Team A6080 5,Team B6080 3
Team A6081 9,Team B6081 0
Team A6082 3,Team B6082 5
Team A6083 3,Team B6083 3
Team A6084 9,Team B6084 0
Team A6085 3,Team B6085 1
Team A6086 0,Team B6086 2
Team A6087 7,Team B6087 4
Team A6088 1,Team B6088 6
Team A6089 8,Team B6089 7
Team A6090 0,Team B6090 4
Team A6091 2,Team B6091 5
Team A6092 6,Team B6092 4
Team A6093 0,Team B6093 2
Team A6094 1,Team B6094 4
Team A6095 1,Team B6095 2
Team A6096 2,Team B6096 4
Team A6097 0,Team B6097 2
Team A6098 2,Team B6098 3
Team A6099 0,Team B6099 3
